,0
531,-453.62999598437654
532,-67.94081427160387
533,-1140.3064975627276
534,-127.96137660190794
535,-208.02871654532345
536,-93.14998804554533
537,-506.6148616323823
538,-330.2185823786606
539,-111.85361633830789
540,-191.8460108539561
541,-274.41315937995046
542,-118.28878745674749
543,14.081911445018335
544,-131.76553376101623
545,-485.99403797619607
546,-360.5730364073431
547,-62.83576058994968
548,-157.13369441889756
549,-483.9347219378491
550,-391.39389423983863
551,-302.1479560132635
552,-292.1794174401803
553,-334.63242866709226
554,-794.5885781510502
555,-336.9550760373239
556,-302.4538064466915
557,-173.7405285123947
558,-589.035999734627
559,-247.66490019487352
560,-322.9847448138925
561,-93.44748507372964
562,-213.8048062821853
563,-119.1278219202342
564,-184.83175456159307
565,-91.79169501501585
566,-398.3614223622734
567,-364.98644302299374
568,-224.50948969642621
569,-154.108064082285
570,-283.04299243858384
571,-472.44207795966287
572,-236.33344598712944
573,-284.14932316188066
574,-94.60595987290264
575,16.54844780216142
576,-87.85945357372155
577,-189.25120370558756
578,-139.07558048208236
579,-153.93682766851936
580,-237.70294868718116
581,-103.858634328708
582,-239.01821522062954
583,-242.2872943338408
584,-336.0822028717905
585,-163.02562916887314
586,-85.96587771014319
587,-170.42989181783432
588,-147.99802097508604
589,-202.45329596366898
590,-65.70074627159464
591,-69.12117742022627
592,-400.0215658922738
593,-251.11904967938494
594,-331.16771873959044
595,-112.80494710259597
596,-119.63454416799523
597,-378.2633707069489
598,-256.2684465139446
599,-407.35031764101603
600,-85.58483659059166
601,-352.2749101113993
602,-214.03632788084866
603,-79.37608113624893
604,-294.9005376134446
605,-130.63844600725324
606,-137.44310615892977
607,-18.638751192951318
608,-215.99408685334296
609,-139.7261289124387
610,-355.6794835510175
611,-104.2799360947445
612,-1.2287075970698709
613,-176.24988630814306
614,-141.16509615051135
615,-493.57229498216464
616,-196.6178518201998
617,-116.41067521469542
618,-101.62720803680064
619,-445.7000655274322
620,-136.88708697723357
621,-63.014372721225484
622,-121.70286326918347
623,-175.20365630262796
624,-123.25229168853967
625,-97.00662014232866
626,-115.09702391121519
627,-278.69562929200015
628,-227.86776635865002
629,-276.4514904057171
630,-296.6767799935715
631,-222.61518744307762
632,12.09848695692257
633,-420.7378921728383
634,-150.90036320863356
635,-112.66937054330626
636,-116.1677513031274
637,-148.23160508553076
638,-289.6652121217104
639,-98.29322541181546
640,-258.433871163909
641,-95.1254097941402
642,-223.2902752543611
643,-276.35256495566074
644,-86.40989435450876
645,-383.76878533997717
646,-230.54395830180948
647,-91.36179970657794
648,-93.3587479180888
649,-387.3970280027587
650,-94.31781703734997
651,-61.28365639047782
652,-451.8598444832801
653,-479.24751944750767
654,-277.09592856589495
655,-1041.1373957134267
656,-324.0153705590915
657,-411.4522377076741
658,-393.90148329575726
659,-468.75135291213076
660,-1347.2891107833098
661,-140.45508193735105
662,-252.705459316502
663,-966.0858355329055
664,-644.94946408728
665,-151.07108058002683
666,-363.30092375552886
667,-116.62956865110998
668,-98.78464710805927
669,-583.518074233921
670,-1015.7522670975127
671,-682.5704887506688
672,-300.708036139588
673,-266.62712117619236
674,-505.45684265118325
675,-194.9346980200819
676,-160.3727451469577
677,-211.42148787355288
678,-173.41338557213874
679,-169.00359429303523
680,-551.6180926383032
681,-176.42380381161772
682,-88.46136082232796
683,-355.6642328514853
684,-429.52981267517026
685,-311.1289363964288
686,-135.3804141153545
687,-349.19135447013923
688,-165.22923453627956
689,-366.58185883973414
690,-135.54362204001723
691,-201.74997277030184
692,-163.7504629554486
693,-142.8764696120577
694,-251.49943826641183
695,-243.89796248463225
696,-150.41277690034246
697,-150.03577975279197
698,-175.5605140632079
699,-201.91425556052127
700,-626.2579912695278
701,-169.60528120862278
702,-215.22791983444563
703,-388.5557450569203
704,-1645.0549287838862
705,-242.64637606502663
706,-245.93230854813274
707,-499.5204700496656
708,-530.1890054324749
709,3.6802764688777785
710,-212.80546690108525
711,-122.68550325951747
712,-314.32560070404287
713,-171.50878619021
714,-211.76394671632863
715,-400.1175703707856
716,-113.62806211570427
717,-310.7186811204964
718,-158.03570121140285
719,-360.1666128068607
720,-295.59042815935635
721,-266.1322616183123
722,-377.9526848637756
723,-233.76221953725943
724,-309.3405721198656
725,-99.85753291141901
726,-438.4561302629896
727,-107.26706678062457
728,-144.14738060688427
729,-296.4935571565165
730,-267.35671474223903
731,-262.48896402370326
732,-108.68328972607495
733,-111.7580563998946
734,-322.71006804305824
735,-87.13246639118724
736,-298.17549700279176
737,-62.06261518265301
738,-156.08019102747033
739,-423.6318074690215
740,-182.3537795037719
741,-383.2551620486727
742,-122.0591506807757
743,-153.65234783259334
744,-79.89141663645427
745,-211.16140899171674
746,-244.84273759926964
747,-1099.2001439884893
748,-368.3683019940824
749,-367.10114725082434
750,-798.4835896410237
751,-97.13903383220882
752,-101.89430308881848
753,-289.25790041924165
754,-198.75454287210056
755,-233.38217965671723
756,-651.5467131902221
757,-116.3216682040285
758,-112.98364939713107
759,-1012.0867932651228
760,-807.6354100158227
761,-61.17490231258055
762,-64.59787881972514
763,-792.5727687765863
764,-246.4108762264973
765,-344.8598439957535
766,-84.59585648802634
767,-2732.0035577497333
768,-850.8566024285997
769,-125.60144092921581
770,-160.65300081278102
771,-492.11310504519224
772,-310.94057978572425
773,-88.8111169272201
774,-221.27179190462715
775,-40.0464122862824
776,-193.4481815674315
777,-350.63891886818476
778,-373.0283257143472
779,-167.53803073347737
780,-48.94898869677554
781,-162.57601107281937
782,-257.1475582595865
783,-298.20023258137735
784,-320.96297562218183
785,-87.02476313690103
786,-432.2277960994562
787,-200.68304797470356
788,-119.3708427561169
789,-293.46309608311265
790,-209.1126531909251
791,-263.30556893726094
792,-379.13595657149136
793,-974.2236442336485
794,-543.9509331289163
795,-88.58377431262012
796,-307.8122891030423
797,-371.35000460270345
798,-328.21200240712983
799,-385.3767729087075
800,-79.4054823898047
801,-109.69069414072936
802,-254.14894444935257
803,-99.95470075746506
804,-88.8483038703512
805,-81.30109828924321
806,-254.68498946377906
807,-107.41256022629355
808,-332.0149583449783
809,-219.26160792860196
810,-98.01004879738389
811,-64.5820414031057
812,-100.2638958144055
813,-267.049783453515
814,-231.40496702317557
815,-204.737397853692
816,-412.30902525881845
817,-53.11196388772899
818,-373.9101740178847
819,-183.8312813886929
820,-107.11274499994732
821,-227.05036667607507
822,-130.34750031649122
823,-377.12171845278704
824,-270.37922536550707
825,-39.147802243458955
826,-389.34731878243196
827,-145.878460054156
828,-79.99365480541574
829,-137.96014774073313
830,-125.28979975712251
831,-101.028538493553
832,-336.65871654208354
833,-136.94330827970964
834,-156.08739456427026
835,-103.79279013014009
836,-332.5177095778542
837,-259.68962198518193
838,-63.7405065129559
839,-376.79780778150507
840,-214.67686688548514
841,-307.53825075621523
842,-119.54699856814318
843,-131.16278654561924
844,-83.3330422298935
845,-287.23041531013246
846,-115.81949386042893
847,-222.88150913734125
848,-128.10178145669576
849,-320.275286590449
850,-261.130622545821
851,-310.59108232693757
852,-158.44365206733846
853,-139.49927679288015
854,-100.59423817425947
855,-68.3756167017379
856,-190.668776388776
857,-243.34668490021775
858,-287.65419776912637
859,-159.02710552307516
860,-288.94280723378944
861,-191.00912346058243
862,-58.45297753634428
863,-346.0584343426535
864,-102.78000393123324
865,-366.72318279205143
866,-72.05649166474812
867,-195.9289940717133
868,-124.45310162951992
869,-96.99543920706866
870,-126.9483009968228
871,-103.23195557876937
872,-104.41156354262226
873,-100.55930908214766
874,-115.30666886181514
875,-168.6845816807632
876,-309.2644801403548
877,-90.41798994753931
878,-214.10450897551388
879,-119.81898088929194
880,-384.4071415485772
881,-96.50761415255394
882,-78.21075660476166
883,-205.46190774470207
884,-288.48527032996446
885,-194.37562009494508
886,-115.77493603758225
887,-100.76632441532568
888,-214.47325693589983
889,-145.11560574575844
890,-44.69546027287342
891,-171.77085523959494
892,-117.20075610337166
893,-379.43412218869474
894,-166.45004180099625
895,-1043.4053687602027
896,-250.43376417204422
897,-313.0194961486115
898,-675.5335330150684
899,-99.23275772699044
900,-38.464664695484224
901,-324.14881324789803
902,-179.04688439435495
903,-310.2037184773489
904,-568.1853537378183
905,-65.0937887379182
906,-65.12402005661322
907,-388.2449723066718
908,-295.2093845194779
909,-121.31862695625999
910,-505.7532880446556
911,-483.6603836499454
912,-1690.7524652783354
913,-1219.6814092945428
914,-18.463743907461264
915,-125.59061091986581
916,-31.830673313581528
917,-619.7338060585395
918,-639.1607502689037
919,-524.334578910505
920,-508.8077856648693
921,-498.850836979644
922,-858.0510834716669
923,-344.8926333121009
924,-362.3054718820979
925,-203.05316916222176
926,-288.5165218933173
927,-207.7062401743061
928,-50.72270541512417
929,-641.6628129359308
930,-82.47830843177003
931,-367.9526382959104
932,-268.1624617065157
933,-151.5917362049625
934,-192.62063295750613
935,-138.0587768675358
936,-202.2761160189977
937,-127.28512987573257
938,-135.95745631615705
939,-132.9121058012111
940,-236.0429650646892
941,-206.09979496507768
942,-90.75088772978081
943,-235.08177931306815
944,-109.97387518257527
945,-94.47776884026531
946,-137.0289981615793
947,-32.04280814610969
948,-229.49548289881275
949,-205.43106781905973
950,-291.20208847613367
951,-332.7090193301194
952,-107.65484091775875
953,-242.9456093051697
954,-374.76762410912147
955,-104.76218732661265
956,-74.27573324522207
957,-94.85132777170902
958,-163.31976630475594
959,-56.99870825047272
960,-93.19830384162796
961,-114.10820850251596
962,-232.72584168816883
963,-86.58326352538337
964,-326.6598470433063
965,-186.0659966349427
966,-210.92273965717732
967,-233.3068232614026
968,-62.14157202320855
969,-169.24505137052324
970,-317.05475955251194
971,-75.97320093877073
972,-209.10335415455455
973,-9.18530916107241
974,-258.50356147275687
975,-202.8813805193917
976,-344.19917083732685
977,-257.9727398071833
978,-225.3276243391586
